id,camera_id,housing_id,lens_id,gear_id,adapter_id,extension1_id,extension2_id,port_id,notes,created_at,extension3_id
7357,62,96,195,,,,,134,,2025-11-03 00:49:20.485741+00,
7358,62,96,196,247,,104,,119,,2025-11-03 00:49:20.593491+00,
7359,62,96,196,247,,104,,121,,2025-11-03 00:49:20.696035+00,
7360,62,96,196,247,,104,,116,,2025-11-03 00:49:20.800382+00,
7361,62,96,196,247,,104,,81,,2025-11-03 00:49:20.908175+00,
7362,62,96,196,247,,104,,80,,2025-11-03 00:49:21.008248+00,
7363,62,96,196,247,,105,,119,,2025-11-03 00:49:21.115262+00,
7364,62,96,196,247,,105,,121,,2025-11-03 00:49:21.222273+00,
7365,62,96,196,247,,105,,116,,2025-11-03 00:49:21.330702+00,
7366,62,96,196,247,,105,,81,,2025-11-03 00:49:21.439587+00,
7367,62,96,196,247,,105,,80,,2025-11-03 00:49:21.539503+00,
7368,62,96,196,246,,104,,119,,2025-11-03 00:49:21.644213+00,
7369,62,96,196,246,,104,,81,,2025-11-03 00:49:21.749965+00,
7370,62,96,196,246,,104,,80,,2025-11-03 00:49:21.854434+00,
7371,62,96,196,246,,105,132,119,,2025-11-03 00:49:21.95849+00,
7372,62,96,196,246,,105,132,81,,2025-11-03 00:49:22.061179+00,
7373,62,96,196,246,,105,132,80,,2025-11-03 00:49:22.174225+00,
7374,62,96,197,248,,113,,119,,2025-11-03 00:49:22.281233+00,
7375,62,96,197,248,,113,,121,,2025-11-03 00:49:22.380313+00,
7376,62,96,197,248,,113,,116,,2025-11-03 00:49:22.479012+00,
7377,62,96,197,248,,113,,81,,2025-11-03 00:49:22.578263+00,
7378,62,96,197,248,,113,,80,,2025-11-03 00:49:22.682484+00,
7379,62,96,197,248,,114,,119,,2025-11-03 00:49:22.797895+00,
7380,62,96,197,248,,114,,121,,2025-11-03 00:49:22.905304+00,
7381,62,96,197,248,,114,,116,,2025-11-03 00:49:23.038415+00,
7382,62,96,197,248,,114,,81,,2025-11-03 00:49:23.151017+00,
7383,62,96,197,248,,114,,80,,2025-11-03 00:49:23.259452+00,
7384,62,96,198,222,,,,140,,2025-11-03 00:49:23.360531+00,
7385,62,96,198,222,,113,,119,,2025-11-03 00:49:23.461748+00,
7386,62,96,198,222,,113,,117,,2025-11-03 00:49:23.568422+00,
7387,62,96,198,222,,113,,121,,2025-11-03 00:49:23.66724+00,
7388,62,96,198,222,,114,,119,,2025-11-03 00:49:23.770597+00,
7389,62,96,198,222,,114,,117,,2025-11-03 00:49:23.872219+00,
7390,62,96,198,222,,114,,121,,2025-11-03 00:49:23.978678+00,
7391,62,96,198,222,,111,,117,,2025-11-03 00:49:24.081653+00,
7392,62,96,198,222,,112,,117,,2025-11-03 00:49:24.193721+00,
7393,62,96,199,223,,98,,140,,2025-11-03 00:49:24.301342+00,
7394,62,96,199,223,,99,,140,,2025-11-03 00:49:24.404195+00,
