和名,学名,分布,深さ,体長,description
モザイクウミウシ,Halgerda tessellata,西太平洋,12m,25~40mm,背面の突起同士を繋ぐように黄褐色線が走り、その間には白色細点が密に散布する。背面周縁の白色点はさらに密に散布している。40mmに達する。
パイナップルウミウシ,Halgerda willeyi,西太平洋、中部太平洋,25m,80~80mm,体は白みを帯びた半透明。背面は多数の黄色の稜線があり、その間に黄色線と黒褐色線がある。変異が著しい。本邦産種からも今後隠蔽種が見いだされる可能性がある。80mmに達する。
ハルゲルダ・バタンガス,Halgerda batangas,西太平洋,21m,30~40mm,体は白みや黄色みを帯びた半透明。背面には大小の隆起があり、稜線部分に小さな突起が並ぶ。背面周縁にも小さく突起した橙色紋が並ぶ。これらの突起間は小さな目の網目模様で覆われる。40mmに達する。
カイメンウミウシ,Atagema intecta,インド-太平洋,5m,35~80mm,体は黄褐色から黒褐色。背面には暗色の突起が密生する。この突起は先端周囲に小さな棘をもち、中央にこぶがある。背面の正中線上には目立つ白色縦線がある。80mmに達する。
スポンジウミウシ,Atagema spongiosa,インド-西太平洋,10m,25~200mm,体は褐色や灰褐色など、変異に富む。背面の所々に独特の暗色の窪みがあり、カイメンに擬態する。体は固い。200mmに達する。
ヒオドシウミウシ,Sclerodoris rubicunda,西太平洋,5m,18~30mm,体は橙赤色。触角間から前方に縦の色帯、鰓の直前に横長の色帯がある。この色帯は白色から緑色、紫色など色彩や形状にも変異があるが、配置する位置は変わらない。触角は薄紫色、鰓は赤みを帯びた半透明。30mmに達する。
カザンウミウシ,Sclerodoris tuberculata,インド-西太平洋,28m,35~50mm,体は赤色から橙色、茶色、黄色、黒色など変異に富む。背面にはやや大きな白色紋が散在することが多い。背面中央には大きなクレーター状突起がある。カイメンにたいへんよく似ているため見つけにくい。50mmに達する。
カクレカザンウミウシ,Sclerodoris apiculata,インド-西太平洋,4m,20~50mm,体は灰黄色から緑黄色。背面は多数の稜線で相互に繋がった突起に覆われる。背面中央部の突起のいくつかは肉質で大きい。鰓と触角は体と同色かやや暗色であることが多い。50mmに達する。
コシボシウミウシ,Sclerodoris sp.,西太平洋,12m,6~40mm,体は黄色や褐色を帯びた半透明。背面周縁には円形の窪みがあり、周縁に近いものほど小さいが海底面が透けて見える。窪みには小さい暗褐色紋がある。背面中央の周囲にはいくつかの白色紋を配置する。背面周縁は白色点が並ぶ。40mmに達する。
ゴマフビロードウミウシ,Jorunna parva,インド-西太平洋,12m,25~25mm,体は白色から黄色、褐色など変異に富む。背面には絨毛状突起が密生し、一部が黒色になる。鰓は軸が黒色で鰓葉は白いものが多いが全体黒色になることもある。触角褶葉は黒色。25mmに達する。
ブチウミウシ,Jorunna funebris,インド-西太平洋,5m,15~150mm,体は白色。背面には微細な絨毛状突起が密生し、一部は黒みの強い黒褐色の円斑状に配列する。触角褶葉と鰓は黒みの強い黒褐色。150mmに達する。
フイリビロードウミウシ,Jorunna ramicola,インド-西太平洋,8m,10~20mm,体は白みや灰色がかった半透明。背面には淡色で縁取られた暗色の丸い窪みが並ぶ。触角鞘と鰓孔の周囲、背面縁には先端の白い小突起が並ぶ。触角にはわずかに褐色色素が入るが先端は白色。20mmに達する。
アオサメハダウミウシ,Jorunna sp.1,西太平洋,8m,11~18mm,体は淡い青紫色。背面は微細な絨毛状突起で覆われ、かすかに白く縁取られた楕円形の斑紋がわずかに間をおいて並ぶ。鰓は体と同色で、触角はやや白いことが多い。ムラサキアミメウミウシは異名。18mmに達する。
イソウミウシ,Rostanga orientalis,日本、香港,8m,7~40mm,体は赤色から橙色。背面は微細な絨毛状突起で覆われ、ときに暗色斑を散布することがある。触角褶葉は褐色を帯び、白色色素がまだらに入り、先端は白色。鰓は体色と同色。40mmに達する。
クロイソウミウシ,Rostanga risbeci,日本、香港,7m,8~25mm,体は黒色、灰黒色、南西諸島では淡褐色。背面には暗色斑と白色細点の集合した斑紋が散在する。触角、鰓ともに体と同色で白色細点を散布し、先端に多い。背面周縁の白色細点列は欠くこともある。南西諸島産個体は体色が淡いことを除いて、本州産個体と特徴が一致する。クロイソカイメン以外の種を摂食すると考えられる。25mmに達する。
ロスタンガ・ルテスケンス,Rostanga lutescens,インド-西太平洋,8m,10~25mm,体はクリーム色から黄色、オレンジ色など。背面には褐色の小斑紋が散布し、かすかな白色点列が数多くの円形をなす。触角は体色よりやや暗色で先端の突起の頂は白色。25mmに達する。
ロスタンガ・ビフルカータ,Rostanga bifurcata,インド-西太平洋,5m,20~25mm,体は赤色から橙色。背面には通常、暗色の斑紋や褐色細点、白色の微細点がある。触角褶葉、鰓は体色と同色から褐色。25mmに達する。
オレンジサメハダウミウシ,Rostanga sp.1,西太平洋,10m,35~20mm,体は橙色で触角や鰓も同色。背面には先端が花びら状に開いた淡色の突起が密生する。鰓は筒状に立ち上がる。20mmに達する。
ヒメアカウミウシ,Rostanga sp.2,南西諸島,17m,5~6mm,体は赤色から暗赤色。背面には微細な突起が密生し、地の色は赤色だが不定形の白色斑紋を散布することがある。しかし密生した突起の赤色のため、明瞭ではない。触角は褐色から黒褐色で淡色の細点を散らす。鰓は褐色から黒褐色。背面縁には白色突起が並ぶことがある。背面に暗色斑はない。同色のカイメンに着生する。6mmに達する。
アップリケウミウシ,Rostanga sp.3,慶良間諸島,15m,8~8mm,体は橙色で背面には暗色の斑紋を多数散布する。触角と鰓は暗色で先端が白色。背面周縁には蛋白色の小斑紋が並ぶ。8mm。
シロサメハダウミウシ,Rostanga sp.4,日本,15m,15~25mm,体は蛋白色から淡褐色。外套膜は薄く広がる。背面は微細な絨毛突起が密生し、淡色の網目状斑紋で覆われる。触角と鰓は暗色。25mmに達する。
クモガタウミウシ,Platydoris ellioti,インド-西太平洋,8m,90~150mm,体地色は橙色で、背面裏面には暗褐色の斑紋が並ぶ。背面は褐色で黒褐色や白色の斑紋が散布し、複雑な色模様となる。触角は褐色で鰓は灰褐色。150mmに達する。
カステラウミウシ,Platydoris inornata,インド-西太平洋,7m,30~40mm,体は黄褐色。背面は微細な顆粒状突起で覆われる。触角後方から鰓の側方の間に3対の蛋白色紋があるが、大きさには個体差がある。触角と鰓は背面色より暗色。背面の暗色斑の濃淡にも個体差がある。40mmに達する。
ホンカワウミウシ,Platydoris cinerobranchiata,西太平洋,3m,100~200mm,背面は褐色や黒褐色の微細点で覆われるがときにその一部を欠く。また背面には赤褐色の大きな斑紋が散在する。触角と鰓は淡褐色。触角鞘縁、鰓孔縁は淡色。200mmに達する。
ユウゼンウミウシ,Platydoris cruenta,インド-西太平洋,7m,70~100mm,体地色は白色で、背面には大きな褐色斑や赤色斑が重なる。また背面は褐色の乱れた細線で覆われる。鰓葉は暗灰色で軸は黒色。100mmに達する。
スオウウミウシ,Platydoris sanguinea,西太平洋,5m,40~40mm,体は暗褐色から橙色。触角後方から鰓直前の間に、3対の白色または淡褐色の小斑紋があるが、時に一部を欠く。触角鰓葉は暗色で白色点が多数入り、先端は白色。鰓は白色から淡褐色。40mmに達する。
アサセクモガタウミウシ,Platydoris scabra,インド-西太平洋,,50~100mm,体は灰白色で、暗灰色から灰褐色の不定形斑紋が背面を覆う。触角は黄褐色。鰓は灰白色で多数の暗色線が入る。背面周縁は淡い橙黄色線で縁取られることがある。潮間帯で夜間に観察されることが多い。100mmに達する。
プラティドーリス・フォルモサ,Platydoris formosa,インド-太平洋,8m,70~120mm,背面は褐色、橙色、白色の斑紋で覆われるがその比率は個体により異なる。触角は赤褐色で、触角鞘と鰓孔縁は黄色と黒色のまだら模様になる。鰓の軸は黒色。過去の本ではホンカワウミウシとされていた場合もある。120mmに達する。
ネズミウミウシ,Platydoris sp.1,日本,18m,60~80mm,"体は黄褐色。背面全体に暗褐色の細点を散布する。触角から鰓直前の間にやや大きな不定形の淡色斑が3対あるが、ときに一部を欠く。触角は黒色で褶葉縁が白色。鰓は灰褐色。ウスクモガタウミウシは異名。以前用いられてきたP.tablata（Abraham, 1877）はタイプ標本が不完全で検証できないため無効。80mmに達する。"
オブラートウミウシ,Discodorididae sp.1,西太平洋,15m,13~20mm,外套膜はわずかに黄色みを帯びた半透明で極めて薄い。背面には正中線上に褐色の隆起がある。この隆起から外側に向け、黄白色の顆粒状突起を並べた隆起線が放射状に伸びる。体は固い。20mmに達する。
クレープウミウシ,Discodorididae sp.2,西太平洋,10m,18~30mm,体は白みを帯びた半透明。背面には全体に褐色紋が散布するが、背面中央で濃色。また褐色で縁取られた丸い黄色突起を全体に散布する。背面縁は波打つ。オブラートウミウシに見られる放射状突起はない。30mmに達する。
ハイイロコクテンウミウシ,Discodorididae sp.3,南西諸島、フィリピン,5m,20~70mm,体は灰色を帯びた半透明で褐色の微細点に覆われる。背面は、褐色で不定形の線状斑紋が散布し、黒色の小円紋が両触角の後ろに並ぶ。さらに白色色素を疎らに散らす。また背面中央は赤みを帯び、周縁には多くの小突起がある。千葉大学の標本に基づき、特徴的な体色と斑紋に因み新称ハイイロコクテンウミウシを提唱する。70mmに達する。
ウタカタウミウシ,Discodorididae sp.4,慶良間諸島,10m,5~5mm,体は紫色から紫褐色を帯びた半透明で、背面には色素を欠いた円斑で覆われる。円斑の中心は小さく突起し、一部は白く染まる。触角は紫褐色で褶葉縁にはわずかに白色色素がある。鰓は白色で、鰓孔縁は白色色素を散らす。千葉大学の標本に基づき、泡を思わせる斑紋に因み新称ウタカタウミウシを提唱する。5mm。
ギンネズウミウシ,Discodorididae sp.5,沖縄諸島、八丈島,10m,6~6mm,体は明るい灰色。背面は微細な突起で覆われる。両触角後方にやや大き目の白色小突起が3個ずつ縦列する。この突起から周囲に白色と褐色の色素が放射状に伸びる。触角と鰓は褐色で先端は白色。千葉大学の標本に基づき、体色の銀鼠色から新称ギンネズウミウシを提唱する。6mmに達する。
アマクサウミウシ,Actinocyclus papillatus,西太平洋,3m,30~50mm,体は茶褐色や黄褐色。背面には暗褐色や白色の斑紋が散在し、白色細点が周縁などに見られるが多寡がある。カワハダウミウシに似るが背面の突起はより大きく、数が多い。突起の中心の暗色紋も大きく、白色で縁取られても眼紋にはならない。50mmに達する。
カワハダウミウシ,Actinocyclus verrucosus,インド-太平洋,11m,40~120mm,体はクリーム色から褐色、黒色など変異がある。背面は濃淡が入り混じるまだら模様になることが多い。アマクサウミウシに似るが背面の突起は小さく低く、数も少ない。中心の暗色紋は小さく、ときに淡色で縁取られた眼紋になる。120mmに達する。
ハラックサウミウシ,Hallaxa indecora,インド-西太平洋,8m,8~12mm,体は赤紫色から小豆色。背面には暗色の小斑を密に散布し、ときに白色細点が列をなすことがある。触角褶葉と鰓は体と同色で、触角先端は白色点になることがある。鰓の前方がうずたかく盛り上がる。12mmに達する。
カンムリハラックサウミウシ,Hallaxa iju,西太平洋、中部太平洋,10m,10~10mm,体は小豆色。背面にはごく小さな白色細点が疎らにある。鰓と触角は体と同色であるが触角褶葉の上半分は淡色になる。なお、触角褶葉は近似のハラックサウミウシよりも大きい。10mmに達する。
アメシストウミウシ,Hallaxa hileenae,西太平洋,8m,12~13mm,体は薄紫色から褐色を帯びた紫色。背面地には暗色の小紋が密に散布する。背面周縁および触角間から鰓を取り囲むY字型の突起があり、この突起上には白色細点が散る。触角と鰓は体と同色。13mmに達する。
