和名,学名,分布,深さ,体長,description
クリヤイロウミウシ,Mexichromis mariei,インド-西太平洋,21m,20~30mm,背面は白色で、小さな円錐形の突起で覆われるがその数には多寡がある。この突起の一部が紫色になることがある。背面周縁は黄色から橙赤色の色帯で縁取られる。触角褶葉と鰓の軸は紫色から赤紫色。30mmに達する。
イチゴミルクウミウシ,Mexichromis aurora,西太平洋,7m,10~20mm,背面はピンク色で、白線で囲まれた縦長の3つの淡色の色帯があり、中央のものは後端で鰓を閉む。3つの色帯の外側には紫色の小さな斑紋が並ぶ。背面周縁は白色細点を散布する。触角と鰓は先端と下部が赤色で、その間は白色。20mmに達する。
セスジウミウシ,Mexichromis lemniscata,インド-太平洋,2m,5~23mm,背面は青紫色で、触角間から鰓にいたる正中線上に黄白色の色帯があり、それを挟むように橙黄色の細長い色帯がある。背面周縁は黄白色の色帯で縁取られる。触角と鰓は赤紫色で先端が青紫色。本種和名は滝巖（1932）によるもので、リボンイロウミウシは異名。23mmに達する。
キイッポンウミウシ,Mexichromis trilineata,西太平洋,20m,6~12mm,背面は薄紫色で、触角後部から鰓にいたる正中線上に白線で囲まれた細い橙色線がある。海外産では3本の橙色線をもつものも見られる。背面周縁は白色細線で縁取られる。触角と鰓は橙色から橙赤色。12mmに達する。
ニタリイロウミウシ,Mexichromis similaris,インド-太平洋,8m,10~10mm,背面は黄色みを帯びた薄紫色で、触角前方と鰓後部で紫色になる。触角間から背面を縦走し、鰓を囲む白色の細長い色帯がある。背面周縁は白色で縁取られる。触角と鰓は橙色。10mmに達する。
キベリアカイロウミウシ,Mexichromis pusilla,インド-太平洋,5m,15~20mm,背面中央は橙赤色で、触角の両脇、背面の中ほど、鰓後部で外側に張り出す。その凸部分と触角前方、鰓後方では濃色になる。正中線上に二つの白斑がある。背面周縁は黄白色の色帯で縁取られる。触角と鰓は橙赤色。20mmに達する。
メキシクロミス・マクロープス,Mexichromis macropus,西太平洋,15m,21~mm,体は紫色で、背面の突起は濃色。背面縁は白色の色帯で縁取られ、橙黄色の斑紋が並ぶ。触角と鰓は紫色。レンゲウミウシに似るが背面縁の橙色斑紋はより縦長で、前後で連続することはない。
タヌキイロウミウシ,Glossodoris hikuerensis,インド-太平洋,14m,90~140mm,体は褐色で、灰褐色の細点が密に散布する。背面縁は外側から淡褐色、白色、青緑色の色帯で縁取られる。触角は背面と同じ配色で前後に白色縦線がある。鰓は蛋白色で軸が淡褐色で縁取られる。大型種で140mmに達する。
キャラメルウミウシ,Glossodoris rufomarginata,インド-太平洋,10m,40~50mm,背面、体側面には茶色の細点が密に散布する。背面周縁は外側から茶色、白色の色帯で縁取られ、緩く波打つ。触角は茶色で前後に白色縦線が入る。鰓は茶色で軸が白色。鰓を細動させる。50mmに達する。
シロタエイロウミウシ,Glossodoris buko,西太平洋,8m,30~40mm,"背面は白みを帯びた半透明で、触角前方から鰓後部にかけて3つのやや定型的な白色斑紋がある。背面周縁は外側が淡黄色の、幅のある白色帯で縁取られる。触角と鰓は黄色みを帯びた白色。かつてはG.pallida（Ruppell & Leuckart, 1828）とされてきたが内部形態や生息海域の違いなどから分けられた。40mmに達する。"
ジボガウミウシ,Glossodoris misakinosibogae,本州から九州、韓国,30m,30~50mm,背面は白みを帯びた半透明で、白色細点を密に散布する。背面周縁は緩く波うち、白色線で縁取られる。触角襞葉の上2/3が黒色。鰓は白色で軸の上部2/3が黒色で縁取られる。本種属Glossodorisは日本産ジボガウミウシ属2種の比較研究（Baba 1988）により邦名ジボガウミウシ属とする。50mmに達する。
モンジャウミウシ,Glossodoris sp.1,インド-西太平洋,8m,25~50mm,"背面は赤茶色で白斑や白色細点を散布する。背面周縁は外側から水色、黒色に近い暗緑色、黄緑色または黄土色の3色で縁取られる。近似のG. cincta（Bergh, 1888）はインド洋から知られ、周縁が外側から青色、黒色の2色で縁取られる。G. acosti Matsuda & Gosliner, 2018は水色、暗緑色、黄緑色で縁取られ、鰓が大きい。50mmに達する。"
シロシキブイロウミウシ,Glossodoris sp.2,インド-西太平洋,20m,30~40mm,背面は白みを帯びた半透明で、白色の丸い突起を散布する。背面周縁は外側が淡黄色で縁取られ、その内側にかすれた白色の色帯がある。触角褶葉は淡黄色で上部1/3が褐色。鰓は白色。40mmに達する。
ナシジウミウシ,Glossodoris sp.3,西太平洋,25m,35~40mm,体はかすかに白みを帯びた半透明で、白色の小円斑を全体に散布する。背面周縁はやや緑色を帯びた黄色でうっすらと縁取られる。触角は薄く青緑色を帯びた淡黄色で前後に白色の縦線がある。鰓は触角と同色。本和名は藤田（1893）による。ユキドケイロウミウシは異名。40mmに達する。
キイロウミウシ,Doriprismatica atromarginata,インド-太平洋,10m,40~100mm,背面は淡黄色で周縁は細かく波うち、黒色細線で縁取られる。背面の正中線上が褐色を帯びることもある。触角と鰓は黒色。100mmに達する。
スキノハイロウミウシ,Doriprismatica paladentata,西太平洋,12m,30~20mm,背面は淡褐色で白色から淡褐色の細点が密に散布する。正中線上にシミ状の斑紋をもつことがある。背面周縁は外側から黒褐色、水色、黄色の線で縁取られる。触角は黒褐色。鰓は淡色で黒褐色で縁取られる。標本に基づき、種小名の鋤の歯をもつ、の意からスキノハイロウミウシを提唱する。20mmに達する。
ナンセイキイロウミウシ,Doriprismatica sp.,南西諸島,5m,15~22mm,背面は白色で正中線に沿ってわずかな褐色の色域がある。小さく波を打つ背面周縁には幅のある黄色帯があり、外側は褐色の細線で縁取られる。触角と鰓は黒色。22mmに達する。
メレンゲウミウシ,Ardeadoris egretta,西太平洋,7m,60~120mm,背面は乳白色。背面周縁は外側から橙黄色、白色の色帯で縁取られる。触角と鰓は白みを帯びた半透明で、触角には前後に白色縦線があり、鰓は軸が白色。体は柔軟で移動速度は速い。大型種で120mmに達する。
フチベニイロウミウシ,Ardeadoris averni,西太平洋,18m,25~74mm,背面は乳白色で、背面周縁は外側から橙赤色、白色の色帯で縁取られる。背面周縁は波うち、特に中央部で大きくたわむ。触角と鰓は橙赤色。触角褶葉の前後には白色縦線がある。74mmに達する。
アカテンイロウミウシ,Ardeadoris cruenta,西太平洋,10m,35~50mm,背面中央部は淡い黄色から山吹色で、その外側の白色帯に赤色斑紋がほぼ一列に並ぶ。背面周縁は外側から白色線、橙黄色の色帯で縁取られる。触角は山吹色で前後に白色縦線があり、鰓は山吹色で軸の外側が白色。鰓を細動させる。50mmに達する。
アカネサスウミウシ,Ardeadoris symmetrica,インド-太平洋,18m,30~45mm,背面は灰黄色から黄褐色を帯びた半透明。触角間と鰓の前後にぼけた淡色の斑紋がある。背面周縁は外側から赤色細線、白色帯で縁取られる。触角と鰓は赤みを帯びた半透明。45mmに達する。
エレクトラウミウシ,Ardeadoris electra,インド-西太平洋,16m,30~40mm,背面は乳白色を帯びた半透明。背面周縁は外側から橙黄色、白色の色帯で縁取られる。触角は背面と同色で褶葉前部に白色縦線があり、触角柄の後部には橙黄色の短い縦線が入る。鰓は白色で一部褐色の色素が入る。40mmに達する。
ヘリシロイロウミウシ,Ardeadoris angustolutea,西太平洋、中部太平洋,15m,23~25mm,背面は乳白色を帯びた半透明で、周縁は外側から淡い橙黄色線、白色の色帯で縁取られる。触角は暗褐色で褶葉の前後に白色縦線が入る。鰓は淡褐色で軸が白色。小型個体ではそれぞれの色素の発現が十分ではない。25mmを超える。
キンゴマイロウミウシ,Ardeadoris tomsmithi,西太平洋、中部太平洋,7m,18~35mm,背面は暗褐色を帯びた半透明で、中央部には灰黄色の小斑紋が密に散布する。背面周縁は小さく波うち、外側から黄色線、白色の色帯で縁取られる。触角は黒褐色で前後に白色縦線が入る。鰓は暗青色で軸が白色。35mmに達する。
ポリアフウミウシ,Ardeadoris poliahu,インド-西太平洋,55m,83~83mm,体は灰白色で、背面には白色細点を散布する。背面周縁は外側から白色、赤色の細線で縁取られ、その内側はわずかに黄色みを帯びる。触角鞘は赤色。鰓は縁が赤色。沖縄では3個体が得られているがいずれも50m以深。83mmに達する。
アカメイロウミウシ,Ardeadoris sp.,日本,30m,33~50mm,背面は白色。背面周縁は外側から橙黄色線、白色線、ごく淡い黄緑色の色帯で縁取られる。触角は橙黄色で前後に白色縦線が入る。鰓は淡い橙黄色で鰓葉は白色。近似のエレクトラウミウシの触角は白みを帯びた半透明で、鰓は白色であること、本種は触角柄に橙色縦線がないことから識別できる。50mmに達する。
